Gare,Coordonnées,Ligne,Nombre de stations (100m),Nombre de stations (200m),Nombre de stations (300m),Nombre de stations (400m)
Us,"49.099650120775024, 1.9705357223217725",TRAIN J,0.0,,,
Us,"49.099650120775024, 1.9705357223217725",TRAIN J,,0.0,,
Us,"49.099650120775024, 1.9705357223217725",TRAIN J,,,0.0,
Us,"49.099650120775024, 1.9705357223217725",TRAIN J,,,,0.0
Val de Fontenay,"48.85426899270086, 2.489167460948014",RER E,0.0,,,
Val de Fontenay,"48.85426899270086, 2.489167460948014",RER E,,0.0,,
Val de Fontenay,"48.85426899270086, 2.489167460948014",RER E,,,1.0,
Val de Fontenay,"48.85426899270086, 2.489167460948014",RER E,,,,2.0
Vigneux-sur-Seine,"48.70812051332577, 2.413871150351318",RER D,0.0,,,
Vigneux-sur-Seine,"48.70812051332577, 2.413871150351318",RER D,,0.0,,
Vigneux-sur-Seine,"48.70812051332577, 2.413871150351318",RER D,,,0.0,
Vigneux-sur-Seine,"48.70812051332577, 2.413871150351318",RER D,,,,0.0
Villabé,"48.59281218940513, 2.4615501808974876",RER D,0.0,,,
Villabé,"48.59281218940513, 2.4615501808974876",RER D,,0.0,,
Villabé,"48.59281218940513, 2.4615501808974876",RER D,,,0.0,
Villabé,"48.59281218940513, 2.4615501808974876",RER D,,,,0.0
Villeneuve-le-Roi,"48.739830698501535, 2.4263998204748227",RER C,0.0,,,
Villeneuve-le-Roi,"48.739830698501535, 2.4263998204748227",RER C,,0.0,,
Villeneuve-le-Roi,"48.739830698501535, 2.4263998204748227",RER C,,,0.0,
Villeneuve-le-Roi,"48.739830698501535, 2.4263998204748227",RER C,,,,0.0
Villeparisis-Mitry-le-Neuf,"48.95314838664854, 2.6031353051184483",RER B,0.0,,,
Villeparisis-Mitry-le-Neuf,"48.95314838664854, 2.6031353051184483",RER B,,0.0,,
Villeparisis-Mitry-le-Neuf,"48.95314838664854, 2.6031353051184483",RER B,,,0.0,
Villeparisis-Mitry-le-Neuf,"48.95314838664854, 2.6031353051184483",RER B,,,,0.0
Villepreux-les-Clayes,"48.823653267814635, 1.9928645351555556",TRAIN N,0.0,,,
Villepreux-les-Clayes,"48.823653267814635, 1.9928645351555556",TRAIN N,,0.0,,
Villepreux-les-Clayes,"48.823653267814635, 1.9928645351555556",TRAIN N,,,0.0,
Villepreux-les-Clayes,"48.823653267814635, 1.9928645351555556",TRAIN N,,,,0.0
Villiers-le-Bel-Gonesse-Arnouville,"48.993777145958845, 2.416187488926983",RER D,0.0,,,
Villiers-le-Bel-Gonesse-Arnouville,"48.993777145958845, 2.416187488926983",RER D,,0.0,,
Villiers-le-Bel-Gonesse-Arnouville,"48.993777145958845, 2.416187488926983",RER D,,,0.0,
Villiers-le-Bel-Gonesse-Arnouville,"48.993777145958845, 2.416187488926983",RER D,,,,0.0
Épernon,"48.60507627664525, 1.681645780403712",GL,0.0,,,
Épernon,"48.60507627664525, 1.681645780403712",GL,,0.0,,
Épernon,"48.60507627664525, 1.681645780403712",GL,,,0.0,
Épernon,"48.60507627664525, 1.681645780403712",GL,,,,0.0
Bonneval,"48.18643720864527, 1.3862450209435093",GL,0.0,,,
Bonneval,"48.18643720864527, 1.3862450209435093",GL,,0.0,,
Bonneval,"48.18643720864527, 1.3862450209435093",GL,,,0.0,
Bonneval,"48.18643720864527, 1.3862450209435093",GL,,,,0.0
Mareuil-sur-Ourcq,"49.13547414281775, 3.075626562947475",TRAIN P,0.0,,,
Mareuil-sur-Ourcq,"49.13547414281775, 3.075626562947475",TRAIN P,,0.0,,
Mareuil-sur-Ourcq,"49.13547414281775, 3.075626562947475",TRAIN P,,,0.0,
Mareuil-sur-Ourcq,"49.13547414281775, 3.075626562947475",TRAIN P,,,,0.0
Cluny-La Sorbonne,"48.85105028137978, 2.3442733454213514",METRO 10,2.0,,,
Cluny-La Sorbonne,"48.85105028137978, 2.3442733454213514",METRO 10,,5.0,,
Cluny-La Sorbonne,"48.85105028137978, 2.3442733454213514",METRO 10,,,9.0,
Cluny-La Sorbonne,"48.85105028137978, 2.3442733454213514",METRO 10,,,,12.0
Antony,"48.754946524596164, 2.3009868557349504",RER B,0.0,,,
Antony,"48.754946524596164, 2.3009868557349504",RER B,,0.0,,
Antony,"48.754946524596164, 2.3009868557349504",RER B,,,0.0,
Antony,"48.754946524596164, 2.3009868557349504",RER B,,,,0.0
Aubergenville-Élisabethville,"48.97214167597384, 1.8483488082825008",TRAIN J,0.0,,,
Aubergenville-Élisabethville,"48.97214167597384, 1.8483488082825008",TRAIN J,,0.0,,
Aubergenville-Élisabethville,"48.97214167597384, 1.8483488082825008",TRAIN J,,,0.0,
Aubergenville-Élisabethville,"48.97214167597384, 1.8483488082825008",TRAIN J,,,,0.0
Gare de Lyon,"48.844139348918475, 2.373259976710645",RER A,0.0,,,
Gare de Lyon,"48.844139348918475, 2.373259976710645",RER A,,2.0,,
Gare de Lyon,"48.844139348918475, 2.373259976710645",RER A,,,3.0,
Gare de Lyon,"48.844139348918475, 2.373259976710645",RER A,,,,5.0
Igny,"48.74085329922273, 2.230839930557986",RER C,0.0,,,
Igny,"48.74085329922273, 2.230839930557986",RER C,,0.0,,
Igny,"48.74085329922273, 2.230839930557986",RER C,,,0.0,
Igny,"48.74085329922273, 2.230839930557986",RER C,,,,0.0
Nointel-Mours,"49.132577701458594, 2.2805153698198444",TRAIN H,0.0,,,
Nointel-Mours,"49.132577701458594, 2.2805153698198444",TRAIN H,,0.0,,
Nointel-Mours,"49.132577701458594, 2.2805153698198444",TRAIN H,,,0.0,
Nointel-Mours,"49.132577701458594, 2.2805153698198444",TRAIN H,,,,0.0
Versailles Château,"48.80021557720123, 2.129043867370255",RER C,0.0,,,
Versailles Château,"48.80021557720123, 2.129043867370255",RER C,,0.0,,
Versailles Château,"48.80021557720123, 2.129043867370255",RER C,,,0.0,
Versailles Château,"48.80021557720123, 2.129043867370255",RER C,,,,0.0
Saint-Fargeau,"48.56507294010044, 2.5426094498060037",RER D,0.0,,,
Saint-Fargeau,"48.56507294010044, 2.5426094498060037",RER D,,0.0,,
Saint-Fargeau,"48.56507294010044, 2.5426094498060037",RER D,,,0.0,
Saint-Fargeau,"48.56507294010044, 2.5426094498060037",RER D,,,,0.0
Val de Fontenay,"48.85409607732852, 2.4886964657999346",RER A,0.0,,,
Val de Fontenay,"48.85409607732852, 2.4886964657999346",RER A,,1.0,,
Val de Fontenay,"48.85409607732852, 2.4886964657999346",RER A,,,1.0,
Val de Fontenay,"48.85409607732852, 2.4886964657999346",RER A,,,,2.0
Villeneuve-Triage,"48.74450070121573, 2.438668340778226",RER D,0.0,,,
Villeneuve-Triage,"48.74450070121573, 2.438668340778226",RER D,,0.0,,
